transitions,activity_day,uuid,from_fips,to_fips
32,01/04/21,c67962c2-21ba-42d1-9bcd-51d873681d04,36015,36107
61,01/04/21,fde17b46-ba00-46ad-b752-e30f907a2e38,36019,36031
476,01/04/21,3442ce64-1286-4631-94c5-b8b99814f16c,36097,36097
33,01/04/21,2dac2670-4823-4356-8ff2-de390b6d5f7e,36057,36093
126,01/04/21,e6708dab-261d-4c28-a8cf-d2fec9f68387,36083,36091
156,01/04/21,503aad35-3580-466b-b1a7-6648790c7fa4,36011,36067
61,01/04/21,f05aff42-2818-4800-ace7-ce7f5549a99f,36055,36117
65,01/04/21,c4f0b407-d371-4baf-a85a-857a681e779b,36073,36063
102,01/04/21,b1a167e5-4997-4d04-aacf-c3dec5ac4de5,36099,36069
369,01/04/21,a771932f-5fd8-4e71-bbee-bb9a57bb3a49,36047,36005
162,01/04/21,6fdb6747-69ea-442d-a3a4-5aa4122fdbfb,36081,36119
205,01/04/21,f94d27ef-c584-4b61-9ab3-4db1269d07ed,36101,36015
218,01/04/21,45efe9bc-4d46-4f0d-913a-6ca7c13ca7c7,36043,36065
135,01/04/21,e1516551-b721-40c6-aa10-2805e8f52c4b,36029,36055
7027,01/04/21,6fa7c651-38ac-4bbf-8dd3-2a4496393aae,36087,36087
45,01/04/21,3f3f40fc-c1d6-4e0c-b355-313edc992aab,36045,36049
30,01/04/21,632a2826-77cd-4294-a1d0-9b1a15e0721c,36017,36025
108,01/04/21,5d1b562e-7a11-43d5-96af-f994181dd3ed,36067,36065
96,01/04/21,8fd3410b-8c4e-4cce-96da-c51dcfb4a81b,36091,36001
750,01/04/21,3fc5ee30-2f88-4e07-89c0-f48211dac337,36119,36005
17,01/04/21,aa1bb492-7103-4f34-849b-a322830c1371,36027,36071
370,01/04/21,67d50664-aed8-4a98-b138-9b49d1c0140d,36005,36081
44,01/04/21,8c22ca5b-a21a-488f-8fe1-6b8fcfb6b183,36109,36023
1542,01/04/21,6984a185-c5e3-4a17-8e8a-a27e66dd1952,36035,36035
1283,01/04/21,7e4e951c-03de-48a6-b68f-c7e5c8841047,36057,36057
4138,01/04/21,34faa6a7-4455-4452-a3a6-991929ea4753,36013,36013
2810,01/04/21,276f10a8-2a5f-43a0-9dfa-498698478b46,36075,36075
257,01/04/21,689d22e7-6be5-4544-84ec-9bc19739087b,36111,36071
